rec_id, culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number, family_role
rec-4991-dup-1, tha, f, 20, 19980201, , joshja, tantasatityanon, ss, rouse hill, 4227, 1, galleghancircuit, , 07 87400390, 7459676, 3, NoRole
rec-5630-org,   ara, m, 22, 19961027, dr, dale, alesha, vic, wallan, 2120, 110, henty street, , 618 09478814, 1028327, 0, NoRole
rec-9215-org,   eng, f, 38, 19800417, , william, walmsley, nsw, bingara, 2198, 257, bacchus circuit, diamond star, 02 21066595, 4973766, 6, NoRole
rec-4534-org,   ina, f, 33, 19850401, , harvey, gunawan, qld, mount byron, 2287, 51, coles place, arcadia, 08 27763692, 5433846, 1, NoRole
rec-4605-org,   eng, f, , 19360607, , aimee, sackville, nsw, auburn, 3131, 150, carnegie crescent, , 2 87352062, 2761868, 7, NoRole
rec-3709-org,   ina, , , 19950407, , jaslyn, pudjijono, wa, madura, 3174, 24, buller crescent, wrensfield, 618 68032554, 4900620, 1, NoRole
rec-3360-dup-2, jew, f, 30, 19880914, mr, kaysey, levitt, nsw, richmonf hill, 5412, 6, popplewql place, , 08 86424290, 5283903, 8, NoRole
rec-1170-org,   eng, f, 13, 20050823, , anthony, stroud, nsw, wollstonecraft, 4740, 7, bastow circuit, ethelton, 612 68524781, 8075219, 8, NoRole
rec-7375-org,   swe, m, 15, 20030303, pfc, holly, rosengren, nsw, smythes creek, 2099, 4, withers place, cara hill, 2 99564043, 1494484, 9, NoRole
rec-5411-org,   chi, m, , 19680805, , leon, hwo, nsw, nelligen, 5162, 27, kosciusko avenue, , 02 98495839, 8809140, 0, NoRole
rec-9625-org,   eng, f, , 19170203, dr, jordan, booner, vic, allansford, 4012, 16, keverstone circuit, merawi, 8 30165166, 6646509, 9, NoRole
rec-2897-dup-0, ser, f, 36, , , zaimee, kakkofic, qld, the perjy group, 2220, 28, bandjalong crejcent, , 02 39991900, 1707014, 9, NoRole
rec-6423-org,   unk, f, 30, 19880823, , joshua, sckel, vic, barunah park, 4306, 18, wandham place, wilgee, 8 74913468, 4129715, 7, NoRole
rec-6912-org,   por, f, 38, 19800829, ms, kane, azevedo, vic, newmerella, 2320, 11, dakin place, , 02 26908318, 8168962, 8, NoRole
rec-595-org,   ind, m, , , hon, tahlia, gurdasani, wa, wallsend, 4226, 9, hamelin crescent, , 08 45132642, 4158363, 5, NoRole
rec-6363-org,   eng, f, 20, 19981224, mr, , rutherford, qld, woodbine, 2232, 3, hannan crescent, , 3 39161823, 6383337, 4, NoRole
rec-9210-org,   unk, f, 32, 19860507, , demie, stratou, nsw, sodwalls, 3977, 89, evergood close, sheep station, 08 32842161, 7976996, 3, NoRole
rec-3821-org,   eng, f, 21, 19970922, ms, simon, braddock, qld, glenlee, 4216, 20, endeavour street, balamba, 613 99623116, 8208063, 4, NoRole
rec-1959-org,   unk, m, 32, 19860504, , isabelle, sclater, vic, heathmont, 3030, 55, vincent place, , 618 37229902, 5855888, 2, NoRole
rec-1696-org,   chi, f, , 19041107, , kiarnee, ywan, qld, mount lofty, 4109, 5, berne crescent, chateau royal, 03 60164652, 2113491, 9, NoRole
rec-1302-org,   usa, f, 26, 19920523, , yasmin, brooks, qld, glenella, 2193, 31, hopkins street, southern cross, 613 53776392, 8500291, 9, NoRole
rec-6316-org,   usa, f, 32, 19860122, ms, rosie, mullins, qld, taringa, 4069, 308, onkaparinga crescent, , 02 70963359, 3313216, 8, NoRole
rec-5532-dup-0, ser, , , , , nat a n, velic, nsw, berke l y  ale, 3039, 3&, , mtplasant, 04 2 461259, 2365145, 8, NoRole
rec-9559-dup-0, ind, m, 28, 19900310, , oscar, sa m  , vjc, mount buffalo, 3350, 5, cochrane   e scent, , 03 87 5 9623, 903314 , 1, NoRole
rec-3036-org,   eng, f, 36, 19820825, , louis, lund, wa, currambine, 3377, 27, , , 02 10556801, 8283848, 3, NoRole
rec-2717-org,   eng, m, 27, 19911220, , chelsie, derrickson, , trevallyn, 4650, 13, bugden avenue, , 03 82120078, 4117361, 9, NoRole
rec-4995-org,   , f, 31, 19871208, ms, paige, reid, nsw, yerong creek, 2115, 49, barnett close, , 612 94192922, 2953987, 3, NoRole
rec-8552-dup-1, ser, f, 83, , , emiily, barac, , cas ino, 5725, 101, cheetham place, , 08 38574583, 9831661, 1, NoRole
rec-8329-org,   tha, , , 19720203, , kaysey, chuan, nsw, bawley point, 2303, 218, marcus clarke street, kersey' south, , 4373904, 4, NoRole
rec-615-org,   iri, m, 24, 19941104, , keely, doherty, vic, mudgegonga, 4119, 247, shortland crescent, , 08 50160045, 6403704, 6, NoRole
rec-5031-dup-0, eng, f, , 197 10109, , alexa der, wescott, ql , wycarbah, 280, q g, hemmings crescent, , 3 57006134, 9662423, 8, NoRole
rec-0-org,   usa, f, 30, 19881008, , edward, raymond, wa, harvey, 3352, 47, cox street, , 618 75304095, 3110937, 2, NoRole
rec-193-org,   swe, f, 22, 19960728, hon, francesco, nyman, vic, noojee, 4012, 3, wentworth avenue, , 04 32183804, 8448894, 5, NoRole
